Attrition,Age,Department,EmployeeNumber,Gender,HourlyRate,JobLevel,MaritalStatus,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
Yes,46,Sales,118,Male,64,3,Single,1,16,3,0,9,3,3,9,8,4
No,40,Research & Development,119,Male,78,4,Married,1,22,4,1,22,3,2,22,3,11
No,51,Sales,120,Male,71,2,Single,0,22,4,0,11,2,1,10,7,1
No,30,Sales,121,Female,63,2,Divorced,1,12,3,3,11,4,2,11,8,2
No,46,Research & Development,124,Male,40,3,Married,2,13,3,1,21,5,2,10,9,9
No,32,Sales,125,Male,87,2,Single,1,16,3,0,12,0,3,11,8,5
No,54,Research & Development,126,Female,60,3,Married,9,12,3,1,16,5,1,4,3,0
No,24,Sales,128,Female,33,2,Married,0,21,4,1,4,2,2,3,2,0
No,28,Sales,129,Male,43,2,Married,1,15,3,0,5,3,4,5,4,0
No,58,Sales,131,Male,37,4,Single,0,13,3,0,38,1,2,37,10,1
No,44,Research & Development,132,Male,67,2,Married,4,12,3,1,17,3,4,3,2,1
Yes,37,Human Resources,133,Male,63,1,Divorced,4,22,4,0,7,3,3,3,2,0
No,32,Research & Development,134,Male,71,1,Single,1,13,3,0,1,2,3,1,0,0
Yes,20,Research & Development,137,Female,66,1,Single,1,18,3,0,1,5,3,1,0,1
No,34,Research & Development,138,Female,41,2,Single,1,14,3,0,16,3,3,16,13,2
No,37,Research & Development,139,Male,100,2,Divorced,5,14,3,1,17,2,4,1,0,0
No,59,Human Resources,140,Female,32,5,Married,9,21,4,1,30,3,3,3,2,2
No,50,Research & Development,141,Female,73,5,Married,3,19,3,0,28,1,2,8,3,0
Yes,25,Sales,142,Male,46,2,Single,1,11,3,0,6,1,3,6,4,0
No,25,Research & Development,143,Male,64,1,Married,1,11,3,2,2,2,3,2,2,2
No,22,Research & Development,144,Female,59,1,Single,1,15,3,0,1,5,3,0,0,0
No,51,Research & Development,145,Female,30,3,Single,3,20,4,0,23,1,2,13,12,12
Yes,34,Research & Development,147,Male,66,2,Single,1,24,4,0,9,3,3,9,7,0
No,54,Human Resources,148,Female,30,4,Single,2,12,3,0,23,3,3,5,3,4
No,24,Research & Development,150,Male,52,1,Married,0,12,3,1,6,2,3,5,3,1
No,34,Research & Development,151,Female,45,2,Divorced,6,15,3,1,12,3,3,1,0,0
No,37,Sales,152,Male,87,3,Single,2,12,3,0,12,3,3,5,3,1
No,34,Research & Development,153,Female,45,3,Single,2,12,3,0,14,6,3,11,10,5
No,36,Sales,154,Female,92,3,Married,0,14,3,1,10,6,3,9,7,2
No,36,Research & Development,155,Female,39,1,Divorced,5,22,4,1,7,2,3,1,0,0
No,43,Sales,158,Male,92,4,Married,1,12,3,2,25,3,4,25,12,4
No,30,Research & Development,159,Male,96,1,Divorced,1,25,4,3,10,2,2,10,7,0
No,33,Sales,160,Male,95,2,Married,0,13,3,1,8,2,4,7,7,0
Yes,56,Research & Development,161,Female,72,1,Married,9,18,3,3,7,2,3,5,4,4
No,51,Research & Development,162,Male,51,5,Single,7,13,3,0,23,5,3,20,18,15
Yes,31,Sales,163,Male,76,2,Married,4,18,3,0,12,3,2,7,7,7
No,26,Research & Development,164,Female,46,1,Married,1,19,3,0,5,3,2,5,4,4
Yes,58,Research & Development,165,Female,94,3,Married,1,12,3,1,40,3,2,40,10,15
Yes,19,Sales,167,Male,50,1,Single,1,19,3,0,0,2,2,0,0,0
No,22,Research & Development,169,Male,100,1,Married,0,14,3,1,3,2,3,2,1,2
No,49,Research & Development,170,Female,96,2,Married,1,14,3,0,16,2,2,15,11,5
No,43,Research & Development,171,Female,72,1,Single,4,12,3,0,18,2,3,3,2,1
No,50,Sales,174,Female,77,3,Single,4,11,3,0,16,3,3,2,2,2
Yes,31,Sales,175,Female,71,2,Married,3,11,3,1,4,2,3,2,2,2
No,41,Sales,176,Male,96,3,Divorced,3,13,3,1,12,2,3,9,7,0
No,26,Human Resources,177,Female,61,1,Married,1,23,4,1,8,3,3,8,7,5
No,36,Research & Development,178,Male,84,2,Divorced,6,20,4,2,7,0,3,3,2,0
Yes,51,Research & Development,179,Male,53,3,Single,2,15,3,0,18,2,3,4,2,0
No,39,Sales,182,Female,47,2,Married,4,14,3,1,17,1,4,15,11,5
No,25,Sales,183,Male,41,2,Married,2,18,3,0,6,3,3,2,2,2
No,30,Human Resources,184,Male,48,2,Married,0,19,3,0,12,2,1,11,9,4
Yes,32,Research & Development,190,Female,41,1,Single,7,22,4,0,10,2,4,5,4,0
No,45,Research & Development,192,Male,83,1,Single,5,13,3,0,9,2,2,6,5,0
No,38,Research & Development,193,Female,32,2,Single,3,20,4,0,19,2,3,3,2,2
No,30,Research & Development,194,Female,75,1,Single,1,14,3,0,5,4,2,5,4,0
No,32,Sales,195,Male,35,2,Divorced,0,17,3,3,9,2,4,8,7,0
No,30,Research & Development,197,Female,84,1,Divorced,5,14,3,1,8,3,3,3,2,2
No,30,Research & Development,198,Male,35,1,Single,0,13,3,0,6,3,3,5,3,1
No,41,Research & Development,199,Male,91,4,Divorced,4,13,3,1,21,2,2,7,6,7
No,41,Research & Development,200,Male,94,1,Married,2,21,4,1,7,2,3,5,0,1
No,19,Research & Development,201,Female,79,1,Single,1,14,3,0,1,3,3,1,0,0
No,40,Research & Development,202,Female,54,2,Divorced,1,11,3,1,20,2,3,20,7,2
No,35,Sales,204,Male,94,3,Married,1,13,3,2,10,3,3,10,8,0
No,53,Sales,205,Male,34,2,Married,2,20,4,1,13,3,1,7,7,4
No,45,Research & Development,206,Male,60,2,Divorced,8,18,3,1,20,2,1,17,9,0
No,32,Sales,207,Female,43,3,Single,1,14,3,0,9,2,3,9,8,3
No,29,Research & Development,208,Male,41,2,Married,1,13,3,1,10,1,3,10,7,0
No,51,Research & Development,211,Male,34,2,Married,2,17,3,0,10,2,3,1,0,0
No,58,Research & Development,214,Female,75,1,Married,4,20,4,1,9,3,2,1,0,0
No,40,Sales,215,Male,67,3,Married,7,11,3,1,15,2,2,12,11,2
No,34,Sales,216,Female,75,1,Married,6,18,3,1,6,3,3,4,3,1
No,22,Research & Development,217,Male,80,1,Married,1,24,4,2,2,6,3,2,2,2
No,27,Research & Development,218,Male,57,1,Divorced,6,18,3,1,6,1,1,2,2,2
No,28,Research & Development,221,Male,42,1,Married,1,11,3,1,5,2,1,5,2,0
No,57,Research & Development,223,Male,83,3,Divorced,3,16,3,1,12,2,1,5,3,1
No,27,Research & Development,224,Male,79,1,Divorced,1,15,3,1,1,2,2,1,1,0
No,50,Research & Development,226,Female,53,5,Single,3,15,3,0,21,5,3,5,4,4
No,41,Research & Development,227,Male,56,1,Divorced,4,12,3,1,13,2,3,9,8,1
No,30,Sales,228,Female,41,3,Married,2,12,3,1,12,2,3,10,9,7
No,38,Sales,230,Female,59,2,Single,4,22,4,0,12,2,4,8,3,0
No,32,Research & Development,231,Male,43,1,Single,3,20,4,0,8,2,3,5,4,1
No,27,Research & Development,233,Male,51,1,Married,0,16,3,1,6,3,2,5,2,1
Yes,19,Sales,235,Female,100,1,Single,0,21,4,0,1,5,4,0,0,0
No,36,Research & Development,238,Male,30,1,Single,4,12,3,0,13,3,2,8,7,7
No,30,Research & Development,239,Male,66,2,Divorced,1,11,3,2,12,4,3,12,9,6
No,45,Sales,240,Female,30,2,Divorced,4,11,3,1,9,3,4,5,4,0
No,56,Research & Development,241,Female,67,1,Divorced,4,18,3,1,19,3,3,2,2,2
No,33,Research & Development,242,Male,90,1,Single,0,14,3,0,4,2,4,3,1,0
Yes,19,Research & Development,243,Male,47,1,Single,1,22,4,0,1,3,2,1,0,1
No,46,Sales,244,Female,92,3,Divorced,1,25,4,3,24,2,3,24,13,15
No,38,Research & Development,245,Female,75,1,Single,1,12,3,0,2,3,3,2,2,2
No,31,Research & Development,246,Female,95,1,Married,8,23,4,1,7,0,3,4,2,0
No,34,Research & Development,247,Female,95,1,Single,2,15,3,0,9,3,3,3,2,1
Yes,41,Sales,248,Female,70,1,Single,1,22,4,0,4,5,2,4,3,0
No,50,Research & Development,249,Male,86,1,Married,2,15,3,1,5,2,2,3,2,0
No,53,Research & Development,250,Female,57,2,Divorced,1,11,3,2,5,3,3,4,2,1
No,33,Research & Development,252,Female,72,1,Married,1,13,3,1,8,5,3,8,7,1
No,40,Research & Development,253,Female,46,5,Married,1,14,3,1,21,2,3,20,8,9
No,55,Research & Development,254,Male,61,5,Single,8,11,3,0,36,3,3,24,15,2
No,34,Research & Development,256,Male,45,2,Married,1,17,3,0,10,2,2,10,9,1
No,51,Research & Development,258,Female,98,4,Single,3,18,3,0,21,6,3,7,7,1
No,52,Research & Development,259,Male,65,5,Married,0,14,3,1,34,5,3,33,18,11
No,27,Research & Development,260,Female,99,1,Single,1,16,3,0,7,2,2,7,7,0
Yes,35,Research & Development,261,Male,50,2,Married,3,13,3,0,8,1,3,1,0,0
No,43,Research & Development,262,Male,37,1,Divorced,4,14,3,3,7,3,4,5,4,2
No,45,Research & Development,264,Male,65,4,Married,9,23,4,1,22,1,3,20,8,11
No,37,Research & Development,267,Male,65,1,Married,1,12,3,1,8,3,2,8,7,1
No,35,Research & Development,269,Female,37,2,Single,5,11,3,0,10,5,3,6,2,1
No,42,Research & Development,270,Female,36,2,Divorced,2,16,3,1,11,5,3,5,3,0
No,38,Research & Development,271,Male,88,2,Married,9,14,3,0,14,3,3,1,0,0
No,38,Research & Development,273,Male,54,2,Married,3,18,3,1,9,3,1,7,7,1
No,27,Research & Development,274,Male,60,2,Married,5,19,3,1,6,1,3,2,2,2
No,49,Research & Development,275,Male,92,2,Divorced,1,15,3,2,7,0,3,7,7,1
No,34,Research & Development,277,Male,43,1,Divorced,1,17,3,1,5,4,4,5,3,2
No,40,Research & Development,281,Male,99,2,Married,8,15,3,1,15,2,4,7,2,3
Yes,38,Research & Development,282,Male,70,2,Married,7,19,3,0,17,2,3,1,0,0
Yes,29,Sales,283,Female,35,3,Married,1,22,4,3,10,3,2,10,4,1
No,22,Research & Development,284,Male,60,1,Divorced,1,16,3,1,4,2,2,4,2,2
No,36,Research & Development,286,Female,73,1,Single,1,13,3,0,8,2,3,8,1,1
No,40,Research & Development,287,Male,63,2,Married,9,14,3,1,5,5,1,3,2,0
No,46,Research & Development,288,Male,97,3,Divorced,7,16,3,1,17,3,3,4,2,0
Yes,32,Sales,291,Male,32,3,Married,1,11,3,0,14,2,2,14,8,9
No,30,Research & Development,292,Male,88,3,Single,1,22,4,0,12,2,3,11,8,5
No,27,Sales,293,Female,90,2,Single,1,14,3,0,7,2,3,7,7,0
No,51,Research & Development,296,Male,81,3,Married,5,16,3,2,16,5,1,10,9,4
Yes,30,Research & Development,297,Female,88,1,Single,5,11,3,0,8,5,3,5,2,0
No,41,Sales,298,Female,75,3,Single,3,18,3,0,16,3,3,1,0,0
Yes,30,Sales,299,Female,52,2,Single,5,15,3,0,9,5,2,6,3,0
Yes,29,Research & Development,300,Male,85,1,Single,0,14,3,0,7,1,2,6,2,1
No,45,Sales,302,Female,57,3,Single,6,12,3,0,23,2,3,19,7,12
No,54,Sales,303,Female,52,2,Married,2,14,3,1,16,4,3,6,2,0
No,36,Research & Development,304,Male,62,2,Single,8,16,3,0,16,3,4,13,11,3
No,33,Research & Development,305,Female,47,1,Married,6,21,4,0,7,3,3,3,2,1
No,37,Research & Development,306,Male,47,3,Divorced,1,14,3,3,10,1,3,10,8,0
No,38,Sales,307,Male,76,3,Divorced,0,12,3,2,17,6,2,16,10,5
No,31,Research & Development,308,Male,90,2,Married,0,12,3,1,6,2,3,5,4,1
No,59,Research & Development,309,Male,70,1,Married,3,17,3,1,7,6,3,1,0,0
No,37,Sales,311,Male,41,1,Divorced,4,17,3,1,13,2,3,9,8,5
No,29,Sales,312,Female,42,3,Married,1,14,3,1,11,5,3,11,10,4
No,35,Sales,314,Female,92,3,Single,1,14,3,0,10,3,4,10,7,0
Yes,29,Research & Development,315,Male,86,1,Single,1,13,3,0,4,3,2,4,3,0
No,52,Research & Development,316,Female,89,1,Single,7,15,3,0,6,3,2,2,2,2
No,42,Research & Development,319,Male,58,5,Married,1,11,3,0,22,3,3,22,17,11
No,59,Human Resources,321,Male,52,1,Married,8,17,3,0,7,2,2,2,2,2
No,50,Sales,323,Female,68,5,Divorced,3,11,3,1,32,3,2,7,0,0
Yes,33,Research & Development,325,Male,58,1,Married,5,13,3,1,8,2,1,5,4,0
No,43,Sales,327,Female,80,4,Married,5,22,4,1,22,3,3,17,13,1
Yes,33,Research & Development,328,Female,39,1,Married,7,20,4,0,13,3,4,9,7,1
No,52,Sales,329,Male,79,5,Single,1,18,3,0,33,2,4,33,7,15
No,32,Sales,330,Female,56,1,Married,2,11,3,1,6,5,3,4,3,1
Yes,32,Research & Development,331,Male,62,1,Single,0,14,3,0,4,2,1,3,2,1
No,39,Research & Development,332,Female,96,1,Divorced,7,14,3,3,7,1,3,3,2,1
No,32,Sales,333,Male,100,2,Married,0,18,3,0,4,2,3,3,2,2
No,41,Research & Development,334,Male,36,2,Divorced,2,16,3,2,17,2,2,1,0,0
No,40,Research & Development,335,Male,62,2,Divorced,1,17,3,2,9,3,3,9,8,4
No,45,Research & Development,336,Male,70,5,Married,0,11,3,1,25,2,3,24,0,1
No,31,Research & Development,337,Male,73,3,Divorced,9,12,3,1,9,3,3,2,2,2
No,33,Research & Development,338,Female,63,1,Married,1,13,3,1,2,2,2,2,2,0
No,34,Research & Development,339,Male,84,2,Married,6,13,3,1,13,3,3,11,9,5
No,37,Research & Development,340,Female,83,1,Married,2,14,3,1,17,2,2,3,1,0
No,45,Research & Development,341,Male,77,2,Married,4,17,3,1,9,1,3,3,2,0
Yes,37,Research & Development,342,Male,61,3,Divorced,6,11,3,2,17,5,3,1,0,0
No,39,Research & Development,343,Female,64,3,Single,0,25,4,0,20,1,3,19,6,11
No,29,Research & Development,346,Male,60,1,Single,1,19,3,0,6,1,3,6,5,1
No,42,Research & Development,347,Female,82,2,Single,3,13,3,0,10,1,3,3,2,0
No,29,Sales,349,Male,45,2,Divorced,2,14,3,1,10,2,3,3,2,0
No,25,Research & Development,350,Female,62,2,Married,0,12,3,2,5,3,3,4,2,1
No,42,Research & Development,351,Female,56,1,Divorced,0,11,3,1,10,4,3,9,6,7
No,40,Research & Development,352,Male,49,5,Divorced,0,19,3,1,22,5,3,21,7,3
No,51,Research & Development,353,Male,96,1,Married,1,11,3,0,1,0,2,1,0,0
Yes,31,Research & Development,355,Male,71,1,Single,0,11,3,0,6,2,4,5,4,1
No,32,Research & Development,359,Male,100,1,Married,1,20,4,0,5,3,1,5,1,0
No,38,Sales,361,Male,39,2,Married,3,18,3,1,13,0,3,8,7,7
No,32,Research & Development,362,Male,84,2,Single,4,13,3,0,9,5,3,6,2,0
No,46,Sales,363,Female,75,4,Married,3,12,3,1,28,2,2,7,7,7
Yes,28,Research & Development,364,Male,79,1,Single,2,11,3,0,5,5,1,0,0,0
No,29,Sales,366,Male,78,2,Married,2,19,3,2,10,2,3,0,0,0
No,31,Research & Development,367,Male,64,2,Married,0,21,4,1,10,2,3,9,0,7
No,25,Research & Development,369,Male,85,2,Divorced,1,12,3,2,6,2,3,6,3,1
No,45,Research & Development,372,Male,79,4,Married,0,14,3,0,21,2,3,20,7,4
No,36,Research & Development,373,Male,47,1,Married,0,11,3,1,16,4,3,15,13,10
No,55,Research & Development,374,Male,81,5,Single,0,14,3,0,37,2,3,36,10,4
Yes,47,Research & Development,376,Male,88,3,Married,1,12,3,1,10,2,2,10,7,9
No,28,Research & Development,377,Male,94,1,Married,1,23,4,1,5,3,2,5,2,0
No,37,Sales,378,Male,98,2,Married,4,14,3,1,7,5,4,5,4,0
No,21,Research & Development,379,Male,100,1,Single,1,17,3,0,3,4,4,3,2,1
No,37,Research & Development,380,Female,80,3,Divorced,2,18,3,2,15,2,3,5,2,0
No,35,Research & Development,381,Female,71,3,Divorced,7,18,3,1,10,6,2,7,7,6
No,38,Sales,382,Female,44,2,Divorced,1,24,4,1,8,3,3,8,0,7
No,26,Research & Development,384,Female,84,2,Divorced,1,20,4,1,6,6,1,6,5,1
No,50,Research & Development,385,Male,96,5,Divorced,3,14,3,2,28,4,2,10,4,1
No,53,Research & Development,386,Male,45,4,Married,3,16,3,3,21,5,2,5,3,1
No,42,Sales,387,Male,99,2,Married,1,25,4,0,20,3,3,20,16,11
No,29,Sales,388,Male,44,2,Single,1,18,3,0,10,3,2,10,7,0
No,55,Research & Development,389,Male,37,2,Married,3,19,3,1,12,4,3,10,7,0
No,26,Research & Development,390,Male,60,2,Married,1,13,3,1,5,3,3,5,3,3
No,37,Research & Development,391,Female,42,1,Single,1,12,3,0,17,3,3,17,12,5
Yes,44,Research & Development,392,Male,43,1,Divorced,3,22,4,1,19,0,1,1,0,0
No,38,Research & Development,393,Male,82,2,Divorced,9,14,3,1,10,2,3,2,2,1
Yes,26,Research & Development,394,Male,45,1,Divorced,2,13,3,1,5,2,3,3,2,0
No,28,Research & Development,395,Female,66,1,Single,1,21,4,0,5,3,3,5,3,0
No,49,Research & Development,396,Female,35,5,Single,9,11,3,0,22,4,3,3,2,1
No,36,Research & Development,397,Male,30,2,Single,4,12,3,0,10,2,3,8,0,7
No,31,Sales,399,Female,84,1,Divorced,1,11,3,1,2,5,2,2,2,2
Yes,26,Sales,401,Male,48,2,Single,1,12,3,0,8,0,3,8,7,7
No,37,Research & Development,403,Male,53,1,Married,1,12,3,3,4,3,2,4,2,1
No,42,Sales,404,Female,77,4,Married,5,14,3,1,23,2,4,20,4,4
Yes,18,Research & Development,405,Male,54,1,Single,1,13,3,0,0,2,3,0,0,0
No,35,Sales,406,Male,96,3,Married,0,15,3,2,12,3,2,11,9,6
No,36,Research & Development,407,Male,81,1,Married,4,18,3,2,4,2,3,1,0,0
No,51,Research & Development,408,Male,84,2,Divorced,5,18,3,1,13,3,3,4,1,1
No,41,Sales,410,Male,88,4,Single,1,19,3,0,22,2,3,22,10,0
No,18,Sales,411,Female,69,1,Single,1,12,3,0,0,2,3,0,0,0
No,28,Research & Development,412,Male,68,2,Single,0,19,3,0,9,2,3,8,3,0
No,31,Sales,416,Male,100,2,Married,4,11,3,1,10,3,2,8,7,7
No,39,Research & Development,417,Male,48,3,Divorced,0,17,3,3,19,5,2,18,10,3
No,36,Research & Development,419,Female,47,2,Married,7,15,3,1,11,3,3,9,8,0
No,32,Sales,420,Male,91,2,Married,1,14,3,1,13,3,2,13,8,4
No,38,Research & Development,421,Female,81,3,Married,3,17,3,1,19,2,3,10,8,0
No,58,Research & Development,422,Male,32,2,Divorced,2,13,3,1,12,2,3,5,3,1
No,31,Research & Development,423,Male,86,1,Married,0,12,3,1,6,4,3,5,2,0
No,31,Human Resources,424,Male,62,2,Married,3,12,3,0,9,1,3,2,2,1
No,45,Research & Development,425,Male,97,3,Divorced,1,18,3,1,24,2,3,24,9,9
No,31,Research & Development,426,Male,32,1,Divorced,0,18,3,1,3,2,1,2,2,2
No,33,Research & Development,428,Female,74,3,Married,6,11,3,2,12,2,3,10,6,8
No,39,Research & Development,429,Male,99,4,Married,1,14,3,0,21,3,3,21,9,11
No,43,Research & Development,430,Female,33,1,Single,0,19,3,0,9,5,3,8,7,1
No,49,Research & Development,431,Female,90,4,Single,7,12,3,0,25,2,3,7,1,0
Yes,52,Research & Development,433,Male,85,2,Married,2,15,3,0,11,3,2,8,2,7
No,27,Research & Development,434,Female,85,1,Single,1,12,3,0,4,2,2,4,3,1
No,32,Sales,436,Female,65,2,Married,1,11,3,0,13,2,3,13,12,11
No,27,Sales,437,Male,74,2,Single,1,11,3,0,5,3,3,5,4,0
No,31,Sales,438,Male,73,2,Divorced,4,12,3,3,13,3,3,7,7,1
No,32,Research & Development,439,Female,74,2,Single,7,16,3,0,10,0,2,7,7,0
Yes,28,Research & Development,440,Male,84,1,Married,5,13,3,0,5,4,2,3,2,2
